id,game,mock-mc,mock-tm,tm-rating,mock-tc,tc-rating,mock-as,as-rating,consensus
54528,Super Mario 64,90,0.98,9.0/10,1,9.2/10,0.92,4.5/5,No consensus yet.
52371,Super Mario Sunshine,88,0.93,8.2/10,0.95,8.3/10,0.88,4.1/5,No consensus yet.
23860,Super Mario 64 DS,77,0.85,7.4/10,0.87,7.5/10,0.86,4.1/5,No consensus yet.
27024,Super Mario Galaxy,95,0.99,8.9/10,1,9.1/10,0.91,4.5/5,No consensus yet.
27036,Super Mario Galaxy 2,95,0.98,8.8/10,1,8.9/10,0.95,4.8/5,No consensus yet.
27102,Super Mario 3D Land,85,0.95,8.2/10,0.95,8.2/10,0.87,4.2/5,With its (literal) eyepopping stereoscopic levels and clever use of depth-of-field~ Super Mario 3D Land is a rare 3DS title that uses the console's central gimmick to enhance the gameplay experience~ leaving a platformer that is unlike anything else on the market.
27974,Super Mario 3D World,89,0.97,8.5/10,0.98,8.7/10,0.91,4.5/5,No consensus yet.
23767,Captain Toad: Treasure Tracker,71,0.9,7.5/10,0.9,7.2/10,0.89,4.3/5,No consensus yet.
28026,Super Mario Odyssey,95,0.98,8.9/10,0.99,8.9/10,0.92,4.5/5,No consensus yet.
487916,Super Mario 3D World: Bowser's Fury,83,0.94,8.1/10,0.95,8.0/10,0.91,4.3/5,No consensus yet.
487914,Super Mario 3D All Stars,72,0.82,7.1/10,0.81,6.9/10,0.59,3.3/5,No consensus yet.
24933,New Super Mario Bros (DS),83,0.95,8.1/10,0.94,8.0/10,0.88,4.3/5,Boasting slick 3D visuals and smart updates to the Mario gameplay of yore~ New Super Mario Bros successfully reinvigorates the classic 2D platformer for a new generation of gaming.
24493,New Super Mario Bros Wii,81,0.95,7.9/10,0.93,7.7/10,0.84,4.2/5,New Super Mario Bros Wii takes the already-successful gameplay of its predecessor and builds upon it with more-elaborate level design~ unique new powerups~ and a robust multiplayer experience~ leading to a must-have family-gaming experience for any Wii owner.
24169,Super Mario All-Stars,57,0.56,5.7/10,0.43,5.3/10,0.7,3.9/5,A loveless re-release of a classic collection~ Super Mario All-Stars might serve as an effective last-resort for players who can't find any other (presumably cheaper) versions of the packaged games.
27159,New Super Mario Bros 2 (3DS),66,0.76,6.6/10,0.77,6.6/10,0.63,3.6/5,New Super Mario Bros 2 doesn't add anything truly~ well~ new to the series' long-running formula~ but it nevertheless offers a well-designed sidescrolling challenge with a central gimmick that will leave players salivating with greed.
27967,New Super Mario Bros U,75,0.92,7.6/10,0.88,7.4/10,0.81,4.0/5,New Super Mario Bros U offers some of the most inventively designed levels that the series has offered in years~ proving that there is still New gold to be mined from an increasingly Old franchise.
24093,New Super Luigi U,67,0.81,6.9/10,0.77,6.8/10,0.8,4.0/5,While it fails to justify its existence as a full game separate from Mario U~ New Super Luigi U is nonetheless an interesting refreshment on the main game's familiar levels~ proving that the second brother has a few surprises of his own.
27984,Super Mario Maker,82,0.96,8.2/10,0.93,8.1/10,0.89,4.3/5,No consensus yet.
23751,Super Mario Maker for 3DS,59,0.68,6.5/10,0.6,6.3/10,0.57,3.2/5,No consensus yet.
605,Super Mario Run,64,0.79,6.7/10,0.76,6.7/10,0.52,3.0/5,No consensus yet.
238390,New Super Mario Bros U Deluxe,70,0.87,7.3/10,0.86,7.2/10,0.64,3.6/5,The new-ness of New Super Mario Bros U. might be a bit exaggerated by this point~ but any Switch owner looking for well-designed platforming thrills will be right at home.
292840,Super Mario Maker 2,82,0.97,8.2/10,0.97,8.2/10,0.87,4.2/5,No consensus yet.
-1,Super Mario Bros Wonder,88,0.98,8.8/10,0.99,8.5/10,0.95,4.5/5,No consensus yet.
54574,Yoshi's Story,52,0.47,5.3/10,0.5,5.4/10,0.83,4.2/5,No consensus yet.
23967,Yoshi's Island: Super Mario Advance 3,86,0.97,8.3/10,0.96,8.1/10,0.97,4.7/5,No consensus yet.
23937,Yoshi Touch & Go,59,0.7,6.3/10,0.58,6.0/10,0.5,3.2/5,No consensus yet.
-2,Yoshi Topsy-Turve,48,0.41,5.4/10,0.35,5.0/10,0.64,3.7/5,No consensus yet.
25040,Yoshi's Island DS,71,0.83,7.0/10,0.82,7.0/10,0.72,3.8/5,Yoshi's Island DS meaningfully builds and expands upon the sharp gameplay and beautiful visuals of its SNES predecessor~ leaving DS owners with a worthy if not-entirely-successor to enjoy.
27375,Yoshi's New Island,51,0.61,5.8/10,0.47,5.6/10,0.5,3.1/5,Yoshi's New Island is a polished and thoroughly playable 2D platformer for 3DS owners~ but it's uninspired presentation and familiar level design leave it feeling like a pale imitation of its masterful SNES predecessor.
27989,Yoshi's Woolly World,67,0.87,7.2/10,0.78,6.6/10,0.85,4.3/5,Revitalizing Yoshi's Island's winning formula in a cozy arts-and-crafts aesthetic~ Yoshi's Woolly World is a soothingly plush platformer for any Wii U owner.
51333,Yoshi's Crafted World,68,0.86,7.2/10,0.82,6.9/10,0.81,4.0/5,No consensus yet.
25178,Paper Mario,89,0.98,8.4/10,0.96,8.3/10,0.92,4.5/5,No consensus yet.
56165,Paper Mario: The Thousand Year Door,80,0.95,8.2/10,0.94,7.9/10,0.91,4.4/5,No consensus yet.
23873,Super Paper Mario,77,0.88,7.6/10,0.87,7.6/10,0.79,4.0/5,Super Paper Mario successfully translates the beloved RPG series into a flatter sidescrolling environment - all while retaining the involving narrative and investing characters that the series has become known for.
27185,Paper Mario: Sticker Star,62,0.72,6.8/10,0.69,6.7/10,0.45,2.8/5,While Sticker Star's gameplay loop might come across as a bit~ erm~ thin to series devoutees~ most players will quickly be swept up by the game's lushly tactile environments and quirky humor.
28015,Paper Mario: Color Splash,64,0.77,6.9/10,0.72,6.7/10,0.66,3.5/5,No consensus yet.
442866,Paper Mario: Origami King,69,0.85,7.3/10,0.79,7.0/10,0.69,3.5/5,No consensus yet.
52312,Luigi's Mansion,66,0.78,7.1/10,0.68,6.6/10,0.87,4.1/5,Luigi's Mansion is too thin on content for a major launch title~ but it's stunning technical  achievements and unique blend of creepiness and whimsy make it a fun ride while it lasts.
27235,Luigi's Mansion: Dark Moon,78,0.92,7.8/10,0.91,7.8/10,0.86,4.2/5,No consensus yet.
236697,Luigi's Mansion 3,78,0.92,7.8/10,0.92,7.7/10,0.85,4.2/5,No consensus yet.
53377,Lego Star Wars: The Video Game,66,0.82,7.2/10,0.81,7.2/10,0.66,3.4/5,LEGO Star Wars might prove to be a bit too repetitive for hardcore gamers~ but it's gleefully-destructive gameplay and hilarious skewering of a classic series make it an ideal buy for those seeking quality family entertainment.
53378,Lego Star Wars II: The Original Trilogy,75,0.95,8.0/10,0.92,7.8/10,0.87,4.4/5,Taking the gameplay and humor that made the original LEGO Star Wars a family-friendly hit~ and refining it to a plastic shine~ Lego Star Wars II is a must-have for LEGO enthusiasts~ Star Wars fans~ or anyone seeking a block-breaking good time.
12662,Lego Star Wars: The Complete Saga,70,0.89,7.5/10,0.87,7.2/10,0.84,4.1/5,No consensus yet.
5260,Lego Indiana Jones: The Original Adventures,65,0.78,7.1/10,0.74,7.0/10,0.75,3.9/5,No consensus yet.
16543,Lego Batman: The Videogame,63,0.77,6.8/10,0.65,6.4/10,0.8,4.1/5,No consensus yet.
26154,Lego Rock Band,58,0.69,6.2/10,0.55,5.8/10,0.72,3.7/5,No consensus yet.
5606,Lego Indiana Jones 2: The Adventure Continues,56,0.68,6.3/10,0.65,6.1/10,0.62,3.6/5,No consensus yet.
447,Lego Harry Potter: Years 1-4,68,0.82,7.1/10,0.81,6.8/10,0.76,3.9/5,No consensus yet.
12729,Lego Star Wars III: The Clone Wars,62,0.75,6.7/10,0.61,6.1/10,0.76,3.9/5,No consensus yet.
4471,Lego Pirates of the Caribbean,59,0.72,6.6/10,0.61,6.0/10,0.65,3.7/5,No consensus yet.
4241,Lego Harry Potter: Years 5-7,64,0.78,7.0/10,0.7,6.5/10,0.77,3.9/5,No consensus yet.
19908,Lego Batman 2: DC Super Heroes,69,0.85,7.2/10,0.84,7.1/10,0.71,3.6/5,No consensus yet.
2597,Lego Lord of the Rings,70,0.88,7.4/10,0.89,7.5/10,0.8,4.0/5,No consensus yet.
959,Lego City Undercover,70,0.89,7.3/10,0.82,7.1/10,0.85,4.1/5,No consensus yet.
3850,Lego Marvel Super Heroes,71,0.91,7.8/10,0.84,7.4/10,0.76,3.9/5,Offering a breadth of fanservice worthy of its cinematic equivalent~ LEGO Marvel Super Heroes is a brilliantly-crafted love letter to decades of rich comic book history.
17543,The Lego Movie Videogame,57,0.64,6.1/10,0.46,5.9/10,0.62,3.5/5,No consensus yet.
3729,Lego The Hobbit,57,0.65,6.5/10,0.47,6.3/10,0.59,3.4/5,Like the film series that it adapts~ Lego The Hobbit can feel like too little butter scraped over too much bread~ but there's enough gorgeous visuals and crafty mechanics to divert players who seek high-fantasy in a toyetic form.
3513,Lego Batman 3: Beyond Gotham,59,0.72,6.6/10,0.6,6.2/10,0.59,3.4/5,No consensus yet.
3294,Lego Jurassic World,56,0.66,6.2/10,0.52,5.8/10,0.65,3.6/5,No consensus yet.
27988,Lego Dimensions,68,0.86,7.0/10,0.86,6.7/10,0.68,3.5/5,No consensus yet.
2866,Lego Avengers,57,0.67,6.4/10,0.49,6.2/10,0.64,3.6/5,No consensus yet.
1935,Lego Star Wars: The Force Awakens,65,0.81,6.8/10,0.74,6.7/10,0.65,3.6/5,No consensus yet.
227,Lego Worlds,55,0.58,6.0/10,0.4,5.7/10,0.56,3.2/5,No consensus yet.
45970,The Lego Ninjago Movie Videogame,56,0.66,6.1/10,0.54,5.9/10,0.49,3.2/5,No consensus yet.
28083,Lego Marvel Super Heroes 2,60,0.73,6.4/10,0.61,5.9/10,0.6,3.4/5,No consensus yet.
58086,Lego The Incredibles,56,0.7,6.2/10,0.69,5.8/10,0.56,3.2/5,No consensus yet.
58597,Lego DC Supervillains,60,0.75,6.6/10,0.61,6.2/10,0.7,3.7/5,No consensus yet.
269475,The Lego Movie 2 Videogame,45,0.43,5.5/10,0.28,4.9/10,0.36,2.2/5,While it offers moments of block-busting fun~ The Lego Movie 2 Videogame is oddly slapdash by the standards of the usually-reliable LEGO series~ feeling more akin to your average licensed cash-grab than an expreience befitting its imagination-stirring pedigree.
-3,Lego Star Wars: The Skywalker Saga,71,0.92,7.7/10,0.88,7.4/10,0.74,3.8/5,No consensus yet.
53394,Mario Party,67,0.81,7.2/10,0.68,6.9/10,0.77,4.0/5,No consensus yet.
23823,Mario Party 2,65,0.79,6.8/10,0.63,6.5/10,0.86,4.1/5,No consensus yet.
54437,Mario Party 3,60,0.7,6.6/10,0.48,6.1/10,0.84,4.0/5,No consensus yet.
56101,Mario Party 4,57,0.62,6.2/10,0.47,5.9/10,0.86,3.8/5,No consensus yet.
56103,Mario Party 5,56,0.55,6.0/10,0.48,5.8/10,0.86,4.1/5,No consensus yet.
56104,Mario Party 6,58,0.62,6.1/10,0.44,5.8/10,0.72,3.9/5,No consensus yet.
27536,Mario Party Advance,43,0.24,4.8/10,0.19,4.6/10,0.39,2.7/5,Mario Party Advance forgoes the competitive fun of its console predecessors for a confoundingly-written story mode and an overly convoluted set of modes~ resulting in a party that most GBA owners will want to quit early.
56106,Mario Party 7,52,0.48,5.7/10,0.36,5.5/10,0.84,4.2/5,No consensus yet.
27021,Mario Party 8,50,0.39,5.5/10,0.35,5.4/10,0.52,3.2/5,Mario Party 8 adds some nifty motion controls to its franchise's formula~ but on the whole feels rather antiquated and stodgy compared to other parties being hosted on the Wii.
24177,Mario Party DS,58,0.69,6.2/10,0.52,6.0/10,0.7,3.9/5,Going portable inevitably takes away a chunk of Mario Party's multiplayer-driven appeal~ but this DS entry is a well-crafted entry nonetheless.
24247,Mario Party 9,59,0.73,6.6/10,0.6,6.3/10,0.6,3.5/5,Uprooting the  luck-driven formula of past Mario Party games for a more strategically-driven gameplay loop~ Mario Party 9 manages to reinvigorate its aging franchise and create Nintendo's most exciting party in years.
24054,Mario Party: Island Tour,46,0.35,5.2/10,0.17,4.8/10,0.45,3.0/5,No consensus yet.
27981,Mario Party 10,53,0.52,5.9/10,0.35,5.6/10,0.53,3.2/5,Although Bowser's Party is a welcome addition to the series' roster of modes~ Mario Party 10 often feels like its spinning its wheels. (Literally~ in the case of the car that all the players are trapped on.)
28017,Mario Party: Star Rush,55,0.65,6.0/10,0.54,5.8/10,0.63,3.5/5,No consensus yet.
46664,Mario Party: The Top 100,47,0.37,5.1/10,0.22,5.0/10,0.51,2.9/5,No consensus yet.
58826,Super Mario Party,64,0.79,6.9/10,0.69,6.5/10,0.63,3.5/5,No consensus yet.
-4,Mario Party Superstars,69,0.85,7.2/10,0.83,7.0/10,0.82,4.0/5,No consensus yet.
-5,Super Mario Party Jamboree,73,0.91,7.6/10,0.92,7.5/10,0.89,4.4/5,No consensus yet.
25057,Wii Sports,63,0.79,7.0/10,0.65,6.9/10,0.76,4.0/5,Wii Sports lacks the depth of content to become a classic game in its own right~ but it proves a marvelous showcase for the Wii's motion-controlled gaming~ one that might spawn even better successors down the line.
24901,Wii Play,47,0.34,5.1/10,0.19,4.6/10,0.52,3.3/5,No consensus yet.
25482,Wii Fit,69,0.85,7.2/10,0.83,6.9/10,0.74,3.9/5,No consensus yet.
25635,Wii Music,51,0.44,5.4/10,0.36,5.5/10,0.39,2.3/5,No consensus yet.
26002,Wii Sports Resort,70,0.87,7.4/10,0.87,7.3/10,0.82,4.1/5,No consensus yet.
26083,Wii Fit Plus,69,0.89,7.0/10,0.88,6.9/10,0.66,3.8/5,No consensus yet.
24359,Wii Party,55,0.63,6.1/10,0.49,5.6/10,0.78,4.0/5,No consensus yet.
27060,Wii Play: Motion,48,0.39,5.4/10,0.3,5.1/10,0.5,3.2/5,No consensus yet.
336653,Wii Karaoke U,55,0.72,6.2/10,0.75,6.0/10,0.72,3.9/5,No consensus yet.
27972,Wii Party U,52,0.65,5.9/10,0.52,5.1/10,0.64,3.6/5,No consensus yet.
27327,Wii Fit U,59,0.77,6.5/10,0.68,6.2/10,0.79,4.0/5,No consensus yet.
27444,Wii Sports Club,55,0.66,6.0/10,0.57,5.9/10,0.6,3.5/5,No consensus yet.
54520,Star Fox 64,81,0.96,8.3/10,0.96,8.2/10,0.9,4.4/5,No consensus yet.
